text,intent,label
i dont know what i need to do to speak to customer service,contact_customer_service,0
"I paid {{Currency Symbol}}{{Refund Amount}} for an item, how could I get a bloody refund?",get_refund,1
can uhelp me canceling purchase {{Order Number}},cancel_order,1
I try to check my restitution status,track_refund,0
i have got to report issues with online payment,payment_issue,1
"I have to inform of damn payment errors, how can I do it?",payment_issue,1
would it be possible to lodge a reclamation?,complaint,0
i exepct a restitution of {{Currency Symbol}}{{Refund Amount}},track_refund,0
i want help to see ur available payment methods,check_payment_methods,0
I don't know how to download my invoice #37777,get_invoice,0
I don't know how I can check the withdrawal penalty,check_cancellation_fee,0
how can I contact cusomer support?,contact_customer_service,0
can you help me to correct  the shipping address?,change_shipping_address,1
is it possible to receive the company newsletter?,newsletter_subscription,0
opening standard account,create_account,1
help me to unsubscribe to your company newsletter,newsletter_subscription,0
I do not know what I need to do to receive reimbursemenrs,get_refund,1
modifying order {{Order Number}},change_order,1
could ya help me solving an error with payments,payment_issue,1
i purchased something how to cancel order {{Order Number}},cancel_order,1
I have a question about opening freemium accounts,create_account,1
I want help listing your allowed payment methods,check_payment_methods,0
can ushow me the early exit charge,check_cancellation_fee,0
change info on {{Account Category}} account,edit_account,1
i cannot pay help me to report issues with payment,payment_issue,1
i have an issue trying to update my shipping address,change_shipping_address,1
want help to talk to someone,contact_human_agent,0
how to change to the {{Account Category}} account?,switch_account,1
I want to know about updating my delivery address,change_shipping_address,1
I do not know what to do to open a {{Account Category}} account,create_account,1
how can i see the status of my subscription to ur newsletter,newsletter_subscription,0
"I have to purchase an article, how can I do it?",place_order,1
i do not know how i can see the avalable payment methods,check_payment_methods,0
check purchase {{Order Number}} current status,track_order,0
i dont know how i can check when my order is gonna arrive,delivery_period,0
get bills from {{Person Name}},get_invoice,0
can i place a damn order from  {{Delivery Country}},delivery_options,0
i need support trying to correct the shipping address,change_shipping_address,1
i want help to lodge a customer complaint,complaint,0
help me order some of your product,place_order,1
problem with canceling purchase {{Order Number}},cancel_order,1
I need help retrieving the key of my user profile,recover_password,1
is it plssible to order from {{Delivery Country}}?,delivery_options,0
can ya show me what payment payment modalities are allowed,check_payment_methods,0
I want to report an error with payment,payment_issue,1
help me checking purchase {{Order Number}} current status,track_order,0
i cant see the ETA of the order {{Order Number}},track_order,0
how to unsubscribe to your newsletter?,newsletter_subscription,0
closing standard account,delete_account,1
how too recover the key of my user account,recover_password,1
i cannot notify of a problem with a sign-up,registration_problems,0
ya have newsletter,newsletter_subscription,0
want help to know if there is anything wrong with the refund,track_refund,0
I do not know what I need to do to inform of a signup issue,registration_problems,0
i want help checking when my item is gonna arrive,delivery_period,0
is it possible to purchase several bloody items?,place_order,1
i do not know what i need to do to modify the address,change_shipping_address,1
how can I inform of a signup problem?,registration_problems,0
need assistance modifying the delivery addres,change_shipping_address,1
I do not know what I need to do to download the bill #85632,get_invoice,0
I don't know what to do to talk to a live agent,contact_human_agent,0
assistance to submit the secondary shipping address,set_up_shipping_address,1
question about the cancellation of my standard account,delete_account,1
there are troubles modifying my shipping address,change_shipping_address,1
i need help with canceling order {{Order Number}},cancel_order,1
question about the pwd recovery,recover_password,1
what do I need to do to see the ETA of purchase {{Order Number}}?,track_order,0
I can't restore my user profile PIN,recover_password,1
where to check the termination fee,check_cancellation_fee,0
using standard account,switch_account,1
i do ont know how i can report an issue with payment,payment_issue,1
I want help to see at what time I can reach customer service,contact_customer_service,0
i have to check the termination charges how to do it,check_cancellation_fee,0
can you help me to acquire an few of your product?,place_order,1
assistance checking what bloody shipping options you offer,delivery_options,0
I am trying to file a rreclamation against your business,complaint,0
I want assistance to cancle purchase {{Order Number}},cancel_order,1
can you help me set up my new shipping address?,set_up_shipping_address,1
is it possible toorder from {{Delivery City}},delivery_options,0
tell me about signingup to ur corporate newsletter,newsletter_subscription,0
how do I cancel my corporate newsletter subscription?,newsletter_subscription,0
change info on {{Account Type}} account,edit_account,1
I need assistance to download my bill from {{Person Name}},get_invoice,0
editting details on {{Account Category}} account,edit_account,1
"my card did not work, help to inform of payment issues",payment_issue,1
i call to write a review for ur services,review,0
editing data on premium account,edit_account,1
help checking the status of purchase {{Order Number}},track_order,0
I try to check in what cases can I request to be reimbursed,check_refund_policy,0
do you have a way to leave a comment for a product?,review,0
I don't know how to shop an article,place_order,1
want assistance to get my invoices from {{Person Name}},get_invoice,0
shipments to {{Delivery City}},delivery_options,0
"I paid {{Currency Symbol}}{{Refund Amount}} for a purchase, help me obtaining my money back",get_refund,1
information about unsubscribing from ur corporate newsletter,newsletter_subscription,0
can you help me see in which cases can I ask for refunds?,check_refund_policy,0
"I can't pay, can you help me notifying of payment errors?",payment_issue,1
I need help leaving a comment for your services,review,0
how to swap some articles of order {{Order Number}}?,change_order,1
where do I report an error with online payment?,payment_issue,1
i want help talking with a human agent,contact_human_agent,0
I don't know how I can change to the platinum account,switch_account,1
correct details on {{Account Category}} account,edit_account,1
informing of error opening user account,registration_problems,0
deliveries to {{Delivery Country}},delivery_options,0
I am trying to talk with customer support,contact_customer_service,0
I have to check how long it takes for my delivery to arrive,delivery_period,0
checking refund status,track_refund,0
would it be possible to retrieve my user account access key?,recover_password,1
problems with {{Account Category}} account deletions,delete_account,1
could you help me check the payment methods?,check_payment_methods,0
I want to know more about correcting the delivery address,change_shipping_address,1
can i lodge a customer claim against ur business,complaint,0
will ya shwo me the eta of order {{Order Number}},track_order,0
do you have a way to leave a review for your services?,review,0
can you help me to submit a different delivery address?,set_up_shipping_address,1
I need to enter a shipping address,set_up_shipping_address,1
what do i have to do to switch to the {{Account Category}} account,switch_account,1
modifying {{Account Type}} account,edit_account,1
can you help me report troubles with payment?,payment_issue,1
help to report issues with an sign-up,registration_problems,0
I need help to swap some itemsof order {{Order Number}},change_order,1
i dont know how to speak to an agent,contact_human_agent,0
question about canceling purchase {{Order Number}},cancel_order,1
I have issues  trying to register,registration_problems,0
"I need to leave a comment for your services, how to do it?",review,0
iwant a freemium account for my husband open it,create_account,1
can uhelp me talk to a live agent,contact_human_agent,0
have a question about the methods for shipment,delivery_options,0
"I have got to correct the data on my account, help me",edit_account,1
i cant sign up i need to inform of signup erroprs,registration_problems,0
hve a question about the password recovery,recover_password,1
assistance to buy several of your product,place_order,1
"I want to get in touch with customer assistance, I need help",contact_customer_service,0
need assistance reporting an error with a signup,registration_problems,0
assistance to purchase something,place_order,1
need to call customer service,contact_customer_service,0
my new shipipng address is invalid i need help,set_up_shipping_address,1
I don't know what to do to delete the freemium account,delete_account,1
can uhelp me check when my order is gonna arrive,delivery_period,0
is it possible to order from {{Delivery City}},delivery_options,0
can i place an oeder from {{Delivery City}},delivery_options,0
help to see your money back policy,check_refund_policy,0
change to the gold account,switch_account,1
i need help to download the damn bill from {{Person Name}},get_invoice,0
I want assistance resetting my key,recover_password,1
what do i have to do to report a bloody issue with payments,payment_issue,1
what do I have to do to buy several damn articles?,place_order,1
help me see in what situations can I ask for a refund,check_refund_policy,0
where can I change to the {{Account Type}} account?,switch_account,1
I have a problem with  opening a standard account,create_account,1
can I place an order from {{Delivery City}}?,delivery_options,0
"I have to check my restitution current status, how to do it?",track_refund,0
checking ETA of order {{Order Number}},track_order,0
helpchecking the allowed payment options,check_payment_methods,0
is it possible to create a freemium account?,create_account,1
i need help sollving a trouble with payments,payment_issue,1
I don't know how I can check my restitution status,track_refund,0
I don't know how to cancel the {{Account Type}} account,delete_account,1
editing data on freemium account,edit_account,1
assistance to leave feedback about ur products,review,0
help to reset my user account ipn code,recover_password,1
I do not know how to check the cancellation  penalties,check_cancellation_fee,0
"I need to receive your company newsletter, how to do it?",newsletter_subscription,0
how do I download the goddamn invoice from {{Person Name}}?,get_invoice,0
open {{Account Category}} account,create_account,1
help to ask for refunds of money,get_refund,1
help me to downolad invoice #37777,get_invoice,0
assistance contacting someone,contact_human_agent,0
I try to reset the fucking key of my profile,recover_password,1
I do not know how to chat with an assistant,contact_human_agent,0
I am trying to check my rebate status,track_refund,0
need help seeing your available payment option,check_payment_methods,0
is it possible to download my invoice from {{Person Name}},get_invoice,0
need ot cancel purchase {{Order Number}},cancel_order,1
there is an issue entering my delivery address,set_up_shipping_address,1
how to leave an opinion for ur products,review,0
